nballs,dtheta_label,seed,timesteps,mean_reward,cycle_length,rho,area,noop_fraction,arm,source,howard_gain_from_summary,howard_L_from_summary,rho_eff,area_eff,mean_reward_eff,cycle_length_eff,howard_gain,howard_L,recovery_pct
3,pi30,5,1000000,0.4876363983890942,30,37.36460451603866,0.3915227296302126,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,90.39988530679692
3,pi30,4,1000000,0.4102557390193518,26,35.570276695867335,0.2998753511451439,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,76.05476514124392
3,pi30,3,1000000,0.4502038483841492,29,37.16168756397784,0.3513271990316148,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,83.46049719227825
3,pi30,2,1000000,0.4459051382271463,30,36.23416760515682,0.3691861861595674,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,82.66358599687943
3,pi30,1,1000000,0.4403262947104002,31,38.989878408813446,0.3500938113450714,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,81.62935882326308
3,pi30,0,1000000,0.5095766400072943,33,36.671941229292216,0.4585530123725405,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,94.46725052489967
3,pi30,7,1000000,0.4893766200634987,32,35.97457834978997,0.4353088364167966,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,90.72249420206039
3,pi20,9,1000000,0.7411915217837853,20,37.34936230501397,0.3968964801759327,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,92.48776044232099
3,pi20,7,1000000,0.6959826178451359,21,37.414063435429725,0.3906454854862782,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,86.84647859485077
3,pi20,6,1000000,0.7174139670056113,24,36.73495866599329,0.4687070799421876,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,89.52073677084755
3,pi20,5,1000000,0.7015923163811663,20,37.586213714978975,0.3733242841119512,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,87.5464710247498
3,pi20,4,1000000,-0.094870168502057,22,-4.506695638386065,0.4631206264003891,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,-11.838140561057921
3,pi20,3,1000000,0.7543392098653686,24,37.30221256803537,0.485336922139639,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,94.12836235143803
3,pi20,2,1000000,0.7731761750104543,22,36.4294317269466,0.466926741479964,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,96.4788867012123
3,pi20,1,1000000,0.7837514548308266,22,36.84763897505014,0.4679412978930144,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,97.79849697452357
3,pi20,8,1000000,0.7108308004457606,25,36.83128760537189,0.4824911418125966,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8013941717682974,48,88.69927252868507
4,pi20,0,1000000,1.1765180562596478,19,42.023904924883006,0.5319316019986817,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,1.239866508687157,21,94.89070379886411
4,pi30,7,1000000,0.6442157404940866,26,43.03091998191881,0.3892459017814232,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,77.49138715365572
4,pi30,6,1000000,0.6409944774511702,25,41.15711243617391,0.3893582661108811,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,77.10390804395412
4,pi30,5,1000000,0.7713976930803074,29,41.023428617768175,0.5453111515315843,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,92.78984279098299
4,pi30,4,1000000,0.7067869180992399,29,41.81709468770164,0.4901541051082644,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,85.01794548447563
4,pi30,3,1000000,0.744787540106798,29,41.85759283471614,0.5160076631349749,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,89.58896219047685
